group,imgid,sublist,subid,SESSION,moddir,mod,RUN,isnii,rest_check,fsrecon_dir,anat_check,fs_check,ezqcid,ezqcbatch
CCNPPEKI,CCNPPEK0001_01_rest01,CCNPPEK0001_01,CCNPPEK0001,1,rest01,rest,1.0,1,5.0,CCNPPEK0001_01,3.0,2.0,CCNPPEK0001_01_rest01,1
CCNPPEKI,CCNPPEK0001_01_rest02,CCNPPEK0001_01,CCNPPEK0001,1,rest02,rest,2.0,1,5.0,CCNPPEK0001_01,3.0,2.0,CCNPPEK0001_01_rest02,1
CCNPPEKI,CCNPPEK0001_02_rest01,CCNPPEK0001_02,CCNPPEK0001,2,rest01,rest,1.0,1,5.0,CCNPPEK0001_02,3.0,2.0,CCNPPEK0001_02_rest01,1
CCNPPEKI,CCNPPEK0001_02_rest02,CCNPPEK0001_02,CCNPPEK0001,2,rest02,rest,2.0,1,5.0,CCNPPEK0001_02,3.0,2.0,CCNPPEK0001_02_rest02,1
CCNPPEKI,CCNPPEK0002_01_rest01,CCNPPEK0002_01,CCNPPEK0002,1,rest01,rest,1.0,1,5.0,CCNPPEK0002_01,3.0,2.0,CCNPPEK0002_01_rest01,1
CCNPPEKI,CCNPPEK0002_01_rest02,CCNPPEK0002_01,CCNPPEK0002,1,rest02,rest,2.0,1,5.0,CCNPPEK0002_01,3.0,2.0,CCNPPEK0002_01_rest02,1
CCNPPEKI,CCNPPEK0003_01_rest01,CCNPPEK0003_01,CCNPPEK0003,1,rest01,rest,1.0,1,5.0,CCNPPEK0003_01,3.0,2.0,CCNPPEK0003_01_rest01,1
CCNPPEKI,CCNPPEK0003_01_rest02,CCNPPEK0003_01,CCNPPEK0003,1,rest02,rest,2.0,1,5.0,CCNPPEK0003_01,3.0,2.0,CCNPPEK0003_01_rest02,1
CCNPPEKI,CCNPPEK0003_02_rest01,CCNPPEK0003_02,CCNPPEK0003,2,rest01,rest,1.0,1,5.0,CCNPPEK0003_02,3.0,2.0,CCNPPEK0003_02_rest01,1
CCNPPEKI,CCNPPEK0003_02_rest02,CCNPPEK0003_02,CCNPPEK0003,2,rest02,rest,2.0,1,5.0,CCNPPEK0003_02,3.0,2.0,CCNPPEK0003_02_rest02,1
CCNPPEKI,CCNPPEK0003_03_rest01,CCNPPEK0003_03,CCNPPEK0003,3,rest01,rest,1.0,1,5.0,CCNPPEK0003_03,3.0,2.0,CCNPPEK0003_03_rest01,1
CCNPPEKI,CCNPPEK0003_03_rest02,CCNPPEK0003_03,CCNPPEK0003,3,rest02,rest,2.0,1,5.0,CCNPPEK0003_03,3.0,2.0,CCNPPEK0003_03_rest02,1
CCNPPEKI,CCNPPEK0004_01_rest01,CCNPPEK0004_01,CCNPPEK0004,1,rest01,rest,1.0,1,5.0,CCNPPEK0004_01,3.0,2.0,CCNPPEK0004_01_rest01,1
CCNPPEKI,CCNPPEK0004_01_rest02,CCNPPEK0004_01,CCNPPEK0004,1,rest02,rest,2.0,1,5.0,CCNPPEK0004_01,3.0,2.0,CCNPPEK0004_01_rest02,1
CCNPPEKI,CCNPPEK0005_01_rest01,CCNPPEK0005_01,CCNPPEK0005,1,rest01,rest,1.0,1,5.0,CCNPPEK0005_01,3.0,2.0,CCNPPEK0005_01_rest01,1
CCNPPEKI,CCNPPEK0005_01_rest02,CCNPPEK0005_01,CCNPPEK0005,1,rest02,rest,2.0,1,5.0,CCNPPEK0005_01,3.0,2.0,CCNPPEK0005_01_rest02,1
CCNPPEKI,CCNPPEK0006_01_rest01,CCNPPEK0006_01,CCNPPEK0006,1,rest01,rest,1.0,1,5.0,CCNPPEK0006_01,3.0,2.0,CCNPPEK0006_01_rest01,1
CCNPPEKI,CCNPPEK0006_01_rest02,CCNPPEK0006_01,CCNPPEK0006,1,rest02,rest,2.0,1,5.0,CCNPPEK0006_01,3.0,2.0,CCNPPEK0006_01_rest02,1
CCNPPEKI,CCNPPEK0007_01_rest01,CCNPPEK0007_01,CCNPPEK0007,1,rest01,rest,1.0,1,5.0,CCNPPEK0007_01,3.0,2.0,CCNPPEK0007_01_rest01,1
CCNPPEKI,CCNPPEK0007_01_rest02,CCNPPEK0007_01,CCNPPEK0007,1,rest02,rest,2.0,1,5.0,CCNPPEK0007_01,3.0,2.0,CCNPPEK0007_01_rest02,1
CCNPPEKI,CCNPPEK0007_02_rest01,CCNPPEK0007_02,CCNPPEK0007,2,rest01,rest,1.0,1,5.0,CCNPPEK0007_02,3.0,2.0,CCNPPEK0007_02_rest01,1
CCNPPEKI,CCNPPEK0007_02_rest02,CCNPPEK0007_02,CCNPPEK0007,2,rest02,rest,2.0,1,5.0,CCNPPEK0007_02,3.0,2.0,CCNPPEK0007_02_rest02,1
CCNPPEKI,CCNPPEK0008_01_rest01,CCNPPEK0008_01,CCNPPEK0008,1,rest01,rest,1.0,1,5.0,CCNPPEK0008_01,3.0,2.0,CCNPPEK0008_01_rest01,1
CCNPPEKI,CCNPPEK0008_01_rest02,CCNPPEK0008_01,CCNPPEK0008,1,rest02,rest,2.0,1,5.0,CCNPPEK0008_01,3.0,2.0,CCNPPEK0008_01_rest02,1
CCNPPEKI,CCNPPEK0008_02_rest01,CCNPPEK0008_02,CCNPPEK0008,2,rest01,rest,1.0,1,5.0,CCNPPEK0008_02,3.0,2.0,CCNPPEK0008_02_rest01,1
CCNPPEKI,CCNPPEK0008_02_rest02,CCNPPEK0008_02,CCNPPEK0008,2,rest02,rest,2.0,1,5.0,CCNPPEK0008_02,3.0,2.0,CCNPPEK0008_02_rest02,1
CCNPPEKI,CCNPPEK0008_03_rest01,CCNPPEK0008_03,CCNPPEK0008,3,rest01,rest,1.0,1,5.0,CCNPPEK0008_03,3.0,2.0,CCNPPEK0008_03_rest01,1
CCNPPEKI,CCNPPEK0008_03_rest02,CCNPPEK0008_03,CCNPPEK0008,3,rest02,rest,2.0,1,5.0,CCNPPEK0008_03,3.0,2.0,CCNPPEK0008_03_rest02,1
CCNPPEKI,CCNPPEK0009_01_rest01,CCNPPEK0009_01,CCNPPEK0009,1,rest01,rest,1.0,1,5.0,CCNPPEK0009_01,3.0,2.0,CCNPPEK0009_01_rest01,1
CCNPPEKI,CCNPPEK0009_01_rest02,CCNPPEK0009_01,CCNPPEK0009,1,rest02,rest,2.0,1,5.0,CCNPPEK0009_01,3.0,2.0,CCNPPEK0009_01_rest02,1
CCNPPEKI,CCNPPEK0009_02_rest01,CCNPPEK0009_02,CCNPPEK0009,2,rest01,rest,1.0,1,5.0,CCNPPEK0009_02,3.0,2.0,CCNPPEK0009_02_rest01,1
CCNPPEKI,CCNPPEK0009_02_rest02,CCNPPEK0009_02,CCNPPEK0009,2,rest02,rest,2.0,1,5.0,CCNPPEK0009_02,3.0,2.0,CCNPPEK0009_02_rest02,1
